PR,URL,HTTP status code,Content type,Is indexable page,Title,Title length,Meta description,Meta description length,H1,H1 length,Meta robots,Robots information in HTTP headers,Canonical URL,Canonical URL code,Size (bytes),No. of content words,Depth,No. of href inlinks,No. of inlinks dofollow,No. of internal outlinks,No. of external outlinks,Loading time (ms),Redirect URL,Redirect URL code,Final redirect URL,Final redirect URL code,Organic traffic,No. of backlinks,No. of dofollow backlinks,No. of nofollow backlinks,No. of referring domains,No. of referring pages
20,https://www.newyorkspecialed.net/districts/nyc-district-29-queens-village/,200,text/html; charset=utf-8,true,District 29 Special Education Hub | newyorkspecialed.net,56,"Complete guide to Special Education in District 29. Contacts, CSE meetings, evaluation timelines, and parent rights.",116,District 29 Special Ed Hub,26,,,https://www.newyorkspecialed.net/districts/nyc-district-29-queens-village/,200,7845,1971,0,1,1,41,0,61,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-18-east-flatbush/cse-meeting-guide.html,200,text/html; charset=utf-8,true,CSE Meeting Guide for District 18,33,"Prepare for your Committee on Special Education meeting in District 18. Tips for Haitian Creole bilingual IEPs, evaluation advocacy, SETSS services.",148,Who Must Be in the Room,23,,,https://www.newyorkspecialed.net/districts/nyc-district-18-east-flatbush/cse-meeting-guide.html,200,9546,2536,0,8,8,39,0,63,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/syracuse-city-sd/cse-meeting-guide.html,200,text/html; charset=utf-8,true,CSE Meeting Guide for Syracuse City SD,38,"Prepare for your Committee on Special Education meeting in Syracuse City SD. Tips for Refugee/immigrant bilingual evals (89% high needs), CPSE, behavior supports.",162,Navigating the CSE Meeting,26,,,https://www.newyorkspecialed.net/districts/syracuse-city-sd/cse-meeting-guide.html,200,10483,3017,0,9,9,39,0,108,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-20-bay-ridge/,200,text/html; charset=utf-8,true,District 20 Special Education Hub | newyorkspecialed.net,56,"Complete guide to Special Education in District 20. Contacts, CSE meetings, evaluation timelines, and parent rights.",116,District 20 Special Ed Hub,26,,,https://www.newyorkspecialed.net/districts/nyc-district-20-bay-ridge/,200,7861,1919,0,1,1,41,0,13,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-26-bayside/cse-meeting-guide.html,200,text/html; charset=utf-8,true,CSE Meeting Guide for District 26,33,"Prepare for your Committee on Special Education meeting in District 26. Tips for High-performing district+IEP advocacy, gifted+disability, ASD services.",152,Who Must Be in the Room,23,,,https://www.newyorkspecialed.net/districts/nyc-district-26-bayside/cse-meeting-guide.html,200,10248,2937,0,9,9,39,0,61,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/newburgh-enlarged-city-sd/,200,text/html; charset=utf-8,true,Newburgh Enlarged City SD Special Education Hub | newyorkspecialed.net,70,"Complete guide to Special Education in Newburgh Enlarged City SD. Contacts, CSE meetings, evaluation timelines, and parent rights.",130,Newburgh Enlarged City SD Special Ed Hub,40,,,https://www.newyorkspecialed.net/districts/newburgh-enlarged-city-sd/,200,7747,2007,0,1,1,41,0,44,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-02-upper-east-side/leadership-directory.html,200,text/html; charset=utf-8,true,Special Education Contacts: District 2,38,"Direct phone numbers and emails for District 2 Committee on Special Education (CSE), CPSE, and leadership offices.",114,,,,,https://www.newyorkspecialed.net/districts/nyc-district-02-upper-east-side/leadership-directory.html,200,6780,1835,0,9,9,39,0,43,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/privacy-policy/,200,text/html; charset=utf-8,true,Privacy Policy | newyorkspecialed.net,37,,,Privacy Policy,14,,,https://www.newyorkspecialed.net/privacy-policy/,200,5591,1039,2,0,0,35,0,12,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/contact/,200,text/html; charset=utf-8,true,Contact Us | newyorkspecialed.net,33,,,"Contact Us
Contact newyorkspecialed.net","10
28",,,https://www.newyorkspecialed.net/contact/,200,4012,354,1,0,0,35,0,16,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-09-grand-concourse/partners.html,200,text/html; charset=utf-8,true,Special Education Providers & Support in NYC District 09 Grand Concourse | NY Special Ed,88,"Navigating special education in NYC District 09 Grand Concourse? Learn about CSE meetings, IEPs, and your rights. Find local parent resources and advocates here.",161,Special Education Providers in NYC District 09 Grand Concourse,62,,,https://www.newyorkspecialed.net/districts/nyc-district-09-grand-concourse/partners.html,200,5312,845,1,8,8,40,9,90,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/rochester-city-sd/evaluation-process.html,200,text/html; charset=utf-8,true,Requesting an Evaluation in Rochester City SD,45,Step-by-step guide to the 60-day special education evaluation timeline in Rochester City SD.,92,Requesting a Special Education Evaluation,41,,,https://www.newyorkspecialed.net/districts/rochester-city-sd/evaluation-process.html,200,10125,3009,0,9,9,39,0,53,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-21-coney-island/evaluation-process.html,200,text/html; charset=utf-8,true,Requesting an Evaluation in District 21,39,Step-by-step guide to the 60-day special education evaluation timeline in District 21.,86,Requesting a Special Education Evaluation,41,,,https://www.newyorkspecialed.net/districts/nyc-district-21-coney-island/evaluation-process.html,200,10789,3319,0,8,8,39,0,74,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/greece-csd/discipline-rights.html,200,text/html; charset=utf-8,true,Discipline Rights — Greece CSD | NY Special Ed — Greece CSD | NY Special Ed,75,"Understand your special education discipline rights in Greece CSD. Learn about suspension, IEPs, Manifestation Determination Reviews, and more in Monroe County.",160,Discipline Rights & Impartial Hearings in Greece CSD,52,,,https://www.newyorkspecialed.net/districts/greece-csd/discipline-rights.html,200,3262,854,2,8,8,6,0,60,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-25-flushing/evaluation-process.html,200,text/html; charset=utf-8,true,Requesting an Evaluation in District 25,39,Step-by-step guide to the 60-day special education evaluation timeline in District 25.,86,Requesting a Special Education Evaluation,41,,,https://www.newyorkspecialed.net/districts/nyc-district-25-flushing/evaluation-process.html,200,9522,2697,0,8,8,39,0,76,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/brentwood-ufsd/discipline-rights.html,200,text/html; charset=utf-8,true,Student Discipline Rights in Brentwood UFSD,43,"Suspension, MDR, and discipline rights for students with disabilities in Brentwood UFSD.",88,Discipline Rights & the Manifestation Determination Review,58,,,https://www.newyorkspecialed.net/districts/brentwood-ufsd/discipline-rights.html,200,8536,2186,0,8,8,39,0,49,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-32-bushwick/partners.html,200,text/html; charset=utf-8,true,Special Education Providers & Support in NYC District 32 Bushwick | NY Special Ed,81,"Navigate special education in NYC District 32 Bushwick. Understand CSE meetings, IEPs, and your rights. Find local advocates and resources for your child.",154,Special Education Providers in NYC District 32 Bushwick,55,,,https://www.newyorkspecialed.net/districts/nyc-district-32-bushwick/partners.html,200,5297,841,1,8,8,40,9,54,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/sachem-csd/evaluation-process.html,200,text/html; charset=utf-8,true,Evaluation Rights — Sachem CSD | NY Special Ed — Sachem CSD | NY Special Ed,75,Understand your evaluation rights in Sachem CSD. Learn how to request a district evaluation and about Independent Educational Evaluations (IEEs).,145,Requesting an Evaluation in Sachem CSD,38,,,https://www.newyorkspecialed.net/districts/sachem-csd/evaluation-process.html,200,3259,898,2,8,8,6,0,89,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-09-grand-concourse/discipline-rights.html,200,text/html; charset=utf-8,true,Student Discipline Rights in District 9,39,"Suspension, MDR, and discipline rights for students with disabilities in District 9.",84,Discipline Rights & the Manifestation Determination Review,58,,,https://www.newyorkspecialed.net/districts/nyc-district-09-grand-concourse/discipline-rights.html,200,8534,2301,0,8,8,39,0,52,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/schenectady-city-sd/evaluation-process.html,200,text/html; charset=utf-8,true,Requesting an Evaluation in Schenectady City SD,47,Step-by-step guide to the 60-day special education evaluation timeline in Schenectady City SD.,94,Requesting a Special Education Evaluation,41,,,https://www.newyorkspecialed.net/districts/schenectady-city-sd/evaluation-process.html,200,9882,2896,0,8,8,39,0,86,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-13-brooklyn-heights/partners.html,200,text/html; charset=utf-8,true,Special Education Providers & Support in NYC District 13 Brooklyn Heights | NY Special Ed,89,"Navigating special education in NYC District 13, Brooklyn Heights, can be complex. Learn about CSE meetings and find local advocates to support your child's needs.",163,Special Education Providers in NYC District 13 Brooklyn Heights,63,,,https://www.newyorkspecialed.net/districts/nyc-district-13-brooklyn-heights/partners.html,200,5299,836,1,9,9,40,9,74,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-07-south-bronx/cse-meeting-guide.html,200,text/html; charset=utf-8,true,CSE Meeting Guide for District 7,32,"Prepare for your Committee on Special Education meeting in District 7. Tips for Related services shortages, CPSE delays, D75 referrals.",135,Who Must Be in the Room,23,,,https://www.newyorkspecialed.net/districts/nyc-district-07-south-bronx/cse-meeting-guide.html,200,9796,2768,0,8,8,39,0,412,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-14-williamsburg/discipline-rights.html,200,text/html; charset=utf-8,true,Student Discipline Rights in District 14,40,"Suspension, MDR, and discipline rights for students with disabilities in District 14.",85,Discipline Rights & the Manifestation Determination Review,58,,,https://www.newyorkspecialed.net/districts/nyc-district-14-williamsburg/discipline-rights.html,200,8715,2327,0,8,8,39,0,89,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-09-grand-concourse/evaluation-process.html,200,text/html; charset=utf-8,true,Requesting an Evaluation in District 9,38,Step-by-step guide to the 60-day special education evaluation timeline in District 9.,85,Requesting a Special Education Evaluation,41,,,https://www.newyorkspecialed.net/districts/nyc-district-09-grand-concourse/evaluation-process.html,200,10660,3074,0,8,8,39,0,105,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/new-rochelle-city-sd/discipline-rights.html,200,text/html; charset=utf-8,true,Student Discipline Rights in New Rochelle City SD,49,"Suspension, MDR, and discipline rights for students with disabilities in New Rochelle City SD.",94,Discipline Rights & the Manifestation Determination Review,58,,,https://www.newyorkspecialed.net/districts/new-rochelle-city-sd/discipline-rights.html,200,8445,2254,0,8,8,39,0,60,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-19-east-new-york/discipline-rights.html,200,text/html; charset=utf-8,true,Student Discipline Rights in District 19,40,"Suspension, MDR, and discipline rights for students with disabilities in District 19.",85,Discipline Rights & the Manifestation Determination Review,58,,,https://www.newyorkspecialed.net/districts/nyc-district-19-east-new-york/discipline-rights.html,200,8003,1958,0,8,8,39,0,69,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-15-park-slope/discipline-rights.html,200,text/html; charset=utf-8,true,Student Discipline Rights in District 15,40,"Suspension, MDR, and discipline rights for students with disabilities in District 15.",85,Discipline Rights & the Manifestation Determination Review,58,,,https://www.newyorkspecialed.net/districts/nyc-district-15-park-slope/discipline-rights.html,200,8523,2193,0,9,9,39,0,49,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/syracuse-city-sd/parent-advocacy-guide.html,200,text/html; charset=utf-8,true,CSE Advocacy Guide for Syracuse City SD Parents | NY Special Ed,63,"A parent's guide to navigating the CSE process in Syracuse City SD. Learn about your rights, IEPs, evaluations, and advocating for your child.",142,Parent Advocacy Guide for Syracuse City SD,42,,,https://www.newyorkspecialed.net/districts/syracuse-city-sd/parent-advocacy-guide.html,200,4737,990,2,1,1,40,0,66,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-31-staten-island/evaluation-process.html,200,text/html; charset=utf-8,true,Requesting an Evaluation in District 31,39,Step-by-step guide to the 60-day special education evaluation timeline in District 31.,86,Requesting a Special Education Evaluation,41,,,https://www.newyorkspecialed.net/districts/nyc-district-31-staten-island/evaluation-process.html,200,11405,3444,0,9,9,39,0,58,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-16-bed-stuy/cse-meeting-guide.html,200,text/html; charset=utf-8,true,CSE Meeting Guide for District 16,33,"Prepare for your Committee on Special Education meeting in District 16. Tips for D75 referral patterns, behavioral supports, related services.",142,Who Must Be in the Room,23,,,https://www.newyorkspecialed.net/districts/nyc-district-16-bed-stuy/cse-meeting-guide.html,200,9899,2645,0,8,8,39,0,133,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-08-throgs-neck/cse-meeting-guide.html,200,text/html; charset=utf-8,true,CSE Meeting Guide for District 8,32,"Prepare for your Committee on Special Education meeting in District 8. Tips for Autism services, NEST programs, Co-op City inclusion.",133,Who Must Be in the Room,23,,,https://www.newyorkspecialed.net/districts/nyc-district-08-throgs-neck/cse-meeting-guide.html,200,10495,2985,0,8,8,39,0,56,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/white-plains-city-sd/discipline-rights.html,200,text/html; charset=utf-8,true,Student Discipline Rights in White Plains City SD,49,"Suspension, MDR, and discipline rights for students with disabilities in White Plains City SD.",94,Discipline Rights & the Manifestation Determination Review,58,,,https://www.newyorkspecialed.net/districts/white-plains-city-sd/discipline-rights.html,200,9145,2543,0,8,8,39,0,89,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/mount-vernon-city-sd/discipline-rights.html,200,text/html; charset=utf-8,true,Student Discipline Rights in Mount Vernon City SD,49,"Suspension, MDR, and discipline rights for students with disabilities in Mount Vernon City SD.",94,Discipline Rights & the Manifestation Determination Review,58,,,https://www.newyorkspecialed.net/districts/mount-vernon-city-sd/discipline-rights.html,200,8432,2195,0,8,8,39,0,59,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/guides/bilingual-iep-new-york/,200,text/html; charset=utf-8,true,Bilingual IEPs & Evaluations in NY | newyorkspecialed.net,57,,,Bilingual IEPs & Evaluations in NY,34,,,https://www.newyorkspecialed.net/guides/bilingual-iep-new-york/,200,7136,1717,1,0,0,35,0,18,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-22-midwood/special-ed-updates.html,200,text/html; charset=utf-8,true,District 22 Special Education: Essential Parent Intel & Updates,63,"Stay ahead of District 22 special education changes. Get critical news, trends, and advocacy strategies before your child's next CSE meeting.",141,District 22 Special Education: Parent Intel,43,,,https://www.newyorkspecialed.net/districts/nyc-district-22-midwood/special-ed-updates.html,200,6415,1209,1,9,9,40,0,81,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-13-brooklyn-heights/discipline-rights.html,200,text/html; charset=utf-8,true,Student Discipline Rights in District 13,40,"Suspension, MDR, and discipline rights for students with disabilities in District 13.",85,Discipline Rights & the Manifestation Determination Review,58,,,https://www.newyorkspecialed.net/districts/nyc-district-13-brooklyn-heights/discipline-rights.html,200,9281,2620,0,9,9,39,0,44,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/new-rochelle-city-sd/evaluation-process.html,200,text/html; charset=utf-8,true,Requesting an Evaluation in New Rochelle City SD,48,Step-by-step guide to the 60-day special education evaluation timeline in New Rochelle City SD.,95,Requesting a Special Education Evaluation,41,,,https://www.newyorkspecialed.net/districts/new-rochelle-city-sd/evaluation-process.html,200,10366,3203,0,8,8,39,0,86,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/freeport-ufsd/special-ed-updates.html,200,text/html; charset=utf-8,true,Freeport UFSD Special Education: Essential Parent Intel & Updates,65,"Stay ahead of Freeport UFSD special education changes. Get critical news, trends, and advocacy strategies before your child's next CSE meeting.",143,Freeport UFSD Special Education: Parent Intel,45,,,https://www.newyorkspecialed.net/districts/freeport-ufsd/special-ed-updates.html,200,6513,1218,1,8,8,40,0,92,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-29-queens-village/partners.html,200,text/html; charset=utf-8,true,Special Education Providers & Support in NYC District 29 Queens Village | NY Special Ed,87,"Navigate special education in NYC District 29, Queens Village. Learn about CSE meetings, IEPs, and your rights. Find local advocates and resources here.",152,Special Education Providers in NYC District 29 Queens Village,61,,,https://www.newyorkspecialed.net/districts/nyc-district-29-queens-village/partners.html,200,5260,842,1,8,8,40,9,70,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-27-rockaway/partners.html,200,text/html; charset=utf-8,true,Special Education Providers & Support in NYC District 27 Rockaway | NY Special Ed,81,"Navigating special education in NYC District 27 Rockaway? Learn about CSE meetings, IEPs, and your child's rights. Connect with local advocates for support.",156,Special Education Providers in NYC District 27 Rockaway,55,,,https://www.newyorkspecialed.net/districts/nyc-district-27-rockaway/partners.html,200,5272,821,1,8,8,40,9,73,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-31-staten-island/partners.html,200,text/html; charset=utf-8,true,Special Education Providers & Support in NYC District 31 Staten Island | NY Special Ed,86,"Navigating special education in NYC District 31 (Staten Island) can be complex. Learn about CSE meetings, IEPs, your rights, and find local parent advocates to help.",165,Special Education Providers in NYC District 31 Staten Island,60,,,https://www.newyorkspecialed.net/districts/nyc-district-31-staten-island/partners.html,200,5308,844,1,9,9,40,9,59,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/albany-city-sd/partners.html,200,text/html; charset=utf-8,true,Special Education Providers & Support in Albany City SD | NY Special Ed,71,"Navigate special education in Albany City SD. Understand CSE meetings, IEPs, and your rights. Find local advocates and resources for Albany families.",149,Special Education Providers in Albany City SD,45,,,https://www.newyorkspecialed.net/districts/albany-city-sd/partners.html,200,5283,824,1,9,9,40,9,38,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-25-flushing/cse-meeting-guide.html,200,text/html; charset=utf-8,true,CSE Meeting Guide for District 25,33,"Prepare for your Committee on Special Education meeting in District 25. Tips for Mandarin/Korean bilingual IEPs, large ASD population, NEST programs.",149,Who Must Be in the Room,23,,,https://www.newyorkspecialed.net/districts/nyc-district-25-flushing/cse-meeting-guide.html,200,10668,3254,0,8,8,39,0,74,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-01-lower-east-side/,200,text/html; charset=utf-8,true,District 1 Special Education Hub | newyorkspecialed.net,55,"Complete guide to Special Education in District 1. Contacts, CSE meetings, evaluation timelines, and parent rights.",115,District 1 Special Ed Hub,25,,,https://www.newyorkspecialed.net/districts/nyc-district-01-lower-east-side/,200,7744,1790,0,1,1,41,0,20,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/utica-city-sd/leadership-directory.html,200,text/html; charset=utf-8,true,Special Education Contacts: Utica City SD,41,"Direct phone numbers and emails for Utica City SD Committee on Special Education (CSE), CPSE, and leadership offices.",117,,,,,https://www.newyorkspecialed.net/districts/utica-city-sd/leadership-directory.html,200,6662,1806,0,8,8,39,0,73,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/greece-csd/leadership-directory.html,200,text/html; charset=utf-8,true,Special Education Contacts — Greece CSD | NY Special Ed,55,"Find Greece CSD special education contacts. Connect with the CSE chairperson, special education director, and other key personnel in Greece, NY.",144,Special Education Contacts in Greece CSD,40,,,https://www.newyorkspecialed.net/districts/greece-csd/leadership-directory.html,200,2115,371,2,8,8,6,1,67,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/new-rochelle-city-sd/parent-advocacy-guide.html,200,text/html; charset=utf-8,true,CSE Advocacy Guide for New Rochelle City SD Parents | NY Special Ed,67,"A parent's guide to special education in New Rochelle City SD. Learn about CSE meetings, IEPs, parent rights, and effective advocacy for your child.",148,Parent Advocacy Guide for New Rochelle City SD,46,,,https://www.newyorkspecialed.net/districts/new-rochelle-city-sd/parent-advocacy-guide.html,200,4993,1118,1,3,3,40,0,49,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/new-rochelle-city-sd/partners.html,200,text/html; charset=utf-8,true,Special Education Providers & Support in New Rochelle City SD | NY Special Ed,77,"Navigate special education in New Rochelle City SD. Understand CSE meetings, IEPs, and your rights. Find local support and advocacy resources for your child.",157,Special Education Providers in New Rochelle City SD,51,,,https://www.newyorkspecialed.net/districts/new-rochelle-city-sd/partners.html,200,5331,833,1,8,8,40,9,41,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-07-south-bronx/discipline-rights.html,200,text/html; charset=utf-8,true,Student Discipline Rights in District 7,39,"Suspension, MDR, and discipline rights for students with disabilities in District 7.",84,Discipline Rights & the Manifestation Determination Review,58,,,https://www.newyorkspecialed.net/districts/nyc-district-07-south-bronx/discipline-rights.html,200,8439,2135,0,8,8,39,0,57,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/east-ramapo-csd/,200,text/html; charset=utf-8,true,Special Education Resources — East Ramapo CSD | NY Special Ed,61,"Navigating the special education process in East Ramapo CSD can be challenging. Understand your rights, the CSE process, and access resources for your child.",157,Special Education Resources in East Ramapo CSD,46,,,https://www.newyorkspecialed.net/districts/east-ramapo-csd/,200,2105,315,2,0,0,8,0,47,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/greece-csd/evaluation-process.html,200,text/html; charset=utf-8,true,Evaluation Rights — Greece CSD | NY Special Ed — Greece CSD | NY Special Ed,75,Learn about your rights to request special education evaluations in Greece CSD. Understand timelines and Independent Educational Evaluations (IEEs).,148,Requesting an Evaluation in Greece CSD,38,,,https://www.newyorkspecialed.net/districts/greece-csd/evaluation-process.html,200,3075,831,2,8,8,6,0,90,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/yonkers-city-sd/parent-advocacy-guide.html,200,text/html; charset=utf-8,true,CSE Advocacy Guide for Yonkers City SD Parents | NY Special Ed,62,"A parent's guide to special education advocacy in Yonkers City SD. Understand your rights, navigate CSE meetings, and advocate for your child's IEP. Get the support you need.",174,Parent Advocacy Guide for Yonkers City SD,41,,,https://www.newyorkspecialed.net/districts/yonkers-city-sd/parent-advocacy-guide.html,200,4857,1048,2,1,1,40,0,61,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-28-forest-hills/partners.html,200,text/html; charset=utf-8,true,Special Education Providers & Support in NYC District 28 Forest Hills | NY Special Ed,85,"Navigating special education in NYC District 28 (Forest Hills)? Learn about CSE meetings, IEPs, and your rights. Connect with local advocates in Queens.",152,Special Education Providers in NYC District 28 Forest Hills,59,,,https://www.newyorkspecialed.net/districts/nyc-district-28-forest-hills/partners.html,200,5341,850,1,8,8,40,9,55,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-75/cse-meeting-guide.html,200,text/html; charset=utf-8,true,CSE Meeting Guide for District 75,33,"Prepare for your Committee on Special Education meeting in District 75. Tips for CRITICAL PAGE: D75 referral process, ACES, Horizon, NEST, placement rights, travel training.",173,Who Must Be in the Room,23,,,https://www.newyorkspecialed.net/districts/nyc-district-75/cse-meeting-guide.html,200,10377,2889,0,9,9,39,0,57,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-23-brownsville/leadership-directory.html,200,text/html; charset=utf-8,true,Special Education Contacts: District 23,39,"Direct phone numbers and emails for District 23 Committee on Special Education (CSE), CPSE, and leadership offices.",115,,,,,https://www.newyorkspecialed.net/districts/nyc-district-23-brownsville/leadership-directory.html,200,6657,1770,0,8,8,39,0,46,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-31-staten-island/parent-advocacy-guide.html,200,text/html; charset=utf-8,true,CSE Advocacy Guide for NYC District 31 Staten Island Parents | NY Special Ed,76,A parent's guide to navigating CSE meetings and advocating for your child's IEP in NYC District 31 Staten Island. Understand your rights and available resources.,161,Parent Advocacy Guide for NYC District 31 Staten Island,55,,,https://www.newyorkspecialed.net/districts/nyc-district-31-staten-island/parent-advocacy-guide.html,200,4757,1034,2,1,1,40,0,102,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-31-staten-island/cse-meeting-guide.html,200,text/html; charset=utf-8,true,CSE Meeting Guide for District 31,33,"Prepare for your Committee on Special Education meeting in District 31. Tips for Only SI district; ABA services, P-3 autism programs, suburban-style advocacy, NEST/Horizon.",172,Who Must Be in the Room,23,,,https://www.newyorkspecialed.net/districts/nyc-district-31-staten-island/cse-meeting-guide.html,200,9976,2820,0,9,9,39,0,41,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-10-riverdale/discipline-rights.html,200,text/html; charset=utf-8,true,Student Discipline Rights in District 10,40,"Suspension, MDR, and discipline rights for students with disabilities in District 10.",85,Discipline Rights & the Manifestation Determination Review,58,,,https://www.newyorkspecialed.net/districts/nyc-district-10-riverdale/discipline-rights.html,200,8260,2100,0,8,8,39,0,46,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/utica-city-sd/evaluation-process.html,200,text/html; charset=utf-8,true,Requesting an Evaluation in Utica City SD,41,Step-by-step guide to the 60-day special education evaluation timeline in Utica City SD.,88,Requesting a Special Education Evaluation,41,,,https://www.newyorkspecialed.net/districts/utica-city-sd/evaluation-process.html,200,10950,3323,0,8,8,39,0,143,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/nyc-district-17-crown-heights/evaluation-process.html,200,text/html; charset=utf-8,true,Requesting an Evaluation in District 17,39,Step-by-step guide to the 60-day special education evaluation timeline in District 17.,86,Requesting a Special Education Evaluation,41,,,https://www.newyorkspecialed.net/districts/nyc-district-17-crown-heights/evaluation-process.html,200,9581,2645,0,8,8,39,0,53,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/buffalo-city-sd/cse-meeting-guide.html,200,text/html; charset=utf-8,true,CSE Meeting Guide for Buffalo City SD,37,"Prepare for your Committee on Special Education meeting in Buffalo City SD. Tips for High needs district (84%), bilingual evals, CSE process, transition services.",162,Who Must Be in the Room,23,,,https://www.newyorkspecialed.net/districts/buffalo-city-sd/cse-meeting-guide.html,200,10154,3083,0,9,9,39,0,45,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/east-ramapo-csd/leadership-directory.html,200,text/html; charset=utf-8,true,Special Education Contacts — East Ramapo CSD | NY Special Ed,60,"East Ramapo CSD special education contacts. Find the CSE chairperson, director of special education, and other key special ed contacts in Rockland County.",154,Special Education Contacts in East Ramapo CSD,45,,,https://www.newyorkspecialed.net/districts/east-ramapo-csd/leadership-directory.html,200,2072,370,2,8,8,6,1,47,,,,,0,0,0,0,0,0
20,https://www.newyorkspecialed.net/districts/rochester-city-sd/,200,text/html; charset=utf-8,true,Rochester City SD Special Education Hub | newyorkspecialed.net,62,"Complete guide to Special Education in Rochester City SD. Contacts, CSE meetings, evaluation timelines, and parent rights.",122,Rochester City SD Special Ed Hub,32,,,https://www.newyorkspecialed.net/districts/rochester-city-sd/,200,8016,1973,0,1,1,41,0,16,,,,,0,0,0,0,0,0
